nome_operadora,modalidade,uniodonto,qt_beneficiarios_periodo,qt_prestadores_periodo,ativa,porte,reg_ans,ano,trimestre,3_vr_receitas,4_vr_despesas,311_vr_contraprestacoes,3111_vr_contraprestacoes_efetivas,311121_vr_contraprestacoes_pre,3117_vr_corresponsabilidade_cedida,1231_vr_creditos_operacoes_saude,41_vr_eventos_liquidos,2111_vr_eventos_a_liquidar,43_vr_desp_comerciais,464119113_vr_desp_comerciais_promocoes,46_vr_desp_administrativas,44_vr_outras_desp_oper,47_vr_desp_tributos,35_vr_receitas_fin,36_vr_receitas_patrimoniais,45_vr_despesas_fin,33_vr_outras_receitas_operacionais,12_vr_ativo_circulante,13_vr_ativo_permanente,21_vr_passivo_circulante,23_vr_passivo_nao_circulante,25_vr_patrimonio_liquido,31_vr_ativos_garantidores,32_vr_provisoes_tecnicas,2521_vr_pl_ajustado,2522_vr_margem_solvencia_exigida,61_vr_conta_61
SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA,Filantropia,NÃO,593,,SIM,,330116,2025,2,164450324.66,162224748.52,26458142.81,26881235.12,27764.54,-22859.13,83469.48,22438406.43,9749724.74,0,0,165170.53,135429756.78,38125.36,298024.57,0,2666754.65,135011936.15,76772326.56,47015007.42,55780800.94,49297350.42,16483606.48,26458142.81,0,0,0,0
,,,,,,,421928,2025,3,453930593.45,509107609.82,439570928.74,451356498.79,0,0,21922570.24,350509294.33,103615701.27,48775836.47,0,71946486.57,7720629.41,29135930.37,22433746.19,2648429.01,1019432.67,158908.63,281115146.91,107141299.98,12085538.47,9810583.17,257590479.02,439570928.74,-10881419.12,0,0,0
,,,,,,,418285,2025,3,33228382.07,27155503.09,3531750.41,3531750.41,0,0,30852032.16,0,22541841.42,0,0,15556994.05,11198766.23,0,4989074.71,277358.18,399742.81,24430198.77,74164395.39,23867059.55,41397523.47,26344214.87,24216837.62,3531750.41,0,0,0,0
,,,,,,,423106,2025,3,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,487305.79,79852.55,0,0,567158.34,0,0,0,0,0
,,,,,,,306754,2012,2,11739777.72,11089867.33,8763937.06,8770864.48,0,0,1857809.81,6567209.19,2632268.29,0,0,2606150.48,1866640.04,0,12812.68,0,49867.62,2842928.45,6446452.6,8549650.54,4271127.56,1604507.27,8470557.92,8763937.06,0,0,0,0
,,,,,,,336467,2012,1,2518223.36,2371738.79,1952612.18,1952612.18,0,0,361255.06,1414211.84,942740.26,3715.92,0,355339.38,584949.75,79,3212.91,0,13442.9,535634.16,7074981.25,2363262.25,1569159.12,857113.93,6865485.88,1958349.03,-145377.07,0,0,0
FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE,Autogestão,NÃO,1701,,SIM,,317233,2010,1,16876346.59,9863189.48,16714870.82,16714870.82,0,0,0,8209427.08,2334507.23,0,0,1653762.4,0,0,0,0,0,0,21431223.57,0,6141178.29,0,15290045.28,16714870.82,0,0,0,0
,,,,,,,335851,2007,3,1634863.87,1611716.99,1702004.83,1702004.83,0,0,33029.64,1025095.74,67453.53,10610.63,0,374176.52,278.8,0,0,0,66055.31,0,188593.15,0,475765.99,11619.73,-237439.98,1634551.3,0,0,0,23145.77
,,,,,,,414930,2009,2,5283957.06,5162607.05,5248931.49,5448757.27,0,-135237.45,330976.85,4590228.63,573847.68,9299.99,0,501516.56,23161.05,0,0,9740.92,28200.82,0,2063997.14,511814.42,1788062.52,131692.56,656056.48,5235009.25,-65423.65,0,0,0
,,,,,,,312304,2010,1,6899722.05,8742738.7,6710274.03,6710274.03,0,0,234736.2,5898911.79,42380531.21,0,0,2733218.45,9051.73,0,4216.05,0,101556.73,42728,2812169.6,19963934.55,49260375.68,8691166.17,-35175437.7,6710274.03,0,0,0,0
SAUDE PAS - MEDICINA E ODONTO,Autogestão,NÃO,4650,,SIM,,409243,2007,1,1021735.81,1045466.96,1019040.81,1028761.85,0,0,350055.04,612547.27,371389.89,0,0,414465.25,0,0,0,0,18454.44,0,568275.83,0,467743.56,0,263523.87,1005914.11,0,0,0,0
,,,,,,,412015,2007,1,53519.7,72589,76948.63,76948.63,0,0,15729.48,987.28,17445.67,0,0,68965.58,1863.64,0,0,0,772.5,0,90592.28,0,247414.13,0,126414.45,59502.96,-5983.26,0,0,0
,,,,,,,371629,2010,2,27957729.82,27685230.74,22655861.72,23397220.89,0,0,884977.43,19207755.22,2603897.28,251603.53,0,3233560.95,4579346.09,0,7629.17,0,412964.95,4051616.09,6225564.86,27197037.17,12817163.95,12974753.29,7630684.79,24049490.53,-460527.34,0,0,0
,,,,,,,354562,2019,4,277364964.05,261074422.07,114267283.37,114267283.37,0,0,1934754.59,89091419.65,11501716.22,371837.06,0,9999574.83,160314724.15,0,9599490.76,605023.41,1296866.38,160171295.16,71645912.47,70869248.29,36096168.91,16883613.95,77416858.99,114267283.37,-3428018.5,0,0,4172023.07
,,,,,,,416401,2010,1,14710530.76,9946819.65,12570801.54,12570801.54,0,0,4324848.2,9396322.65,4278085.72,0,0,441092.65,0,0,0,0,109404.35,0,32109695.18,117760.07,9383434.56,0,18080309.58,14220664.41,0,0,0,0
CLÍNICA ODONTOLÓGICA MAXIDENTE LTDA.,Odontologia de Grupo,NÃO,0,,NÃO,,414182,2007,3,281393.46,407557.11,0,0,0,0,32868.79,119590.38,0,53135.85,0,173020.34,53377.14,0,0,0,8433.4,279862.26,73899.66,0,300093.18,0,-15303.5,-872.15,0,0,0,0
MAIS SAÚDE PLANO DE SAÚDE LTDA,Medicina de Grupo,NÃO,0,,NÃO,,415065,2008,2,110954.6,67157.57,13709,0,0,0,1571,250,0,0,0,61347.03,2411,0,0,0,3149.54,98954.01,59460.32,11232.25,142067.9,74335.58,539439.04,11461.67,0,0,0,0
,,,,,,,414948,2008,3,16243874.45,16258074.26,16142979.38,13826493.3,0,0,0,13712489.44,0,0,0,1584610.94,951995.77,0,0,0,8978.11,96045.69,3270787.22,178922.12,2280106.6,0,1169602.74,16142979.38,0,0,0,0
OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR,Medicina de Grupo,NÃO,1090,,SIM,,416738,2017,4,40469861.25,34721342.9,39218689.78,42680454.93,0,0,1724030.74,28020247.19,6609750.96,323580.12,0,5118832.12,1241299.25,0,1135231.74,0,17384.22,861035.97,12323526.52,10751758.04,8370400.98,0,14704883.58,39218689.78,-745096.24,0,0,1930496.25
,,,,,,,395480,2007,2,11817893.63,11418395.03,12205192.2,13686943.57,0,0,2857950.71,8306118.27,818559.26,239261.07,0,2673219.87,115744.09,583.38,0,0,83468.35,67563.29,3066854.7,741559.67,2514413.43,591855.34,1886500.21,12102558.29,-410727.74,45.62,298082.9,0
UNIODONTO PIRAQUEAÇU - COOPERATIVA ODONTOLÓ,Cooperativa odontológica,SIM,0,,NÃO,,412601,2010,2,92451.79,98984.49,52666.09,0,0,0,31558.9,39448.73,0,3029.75,0,55434.53,1061.92,0,0,0,9.56,33124.91,203558.76,6919.42,105911.6,0,104566.58,57614.03,-6165.52,0,0,0
,,,,,,,346276,2022,4,246718852.83,268123219.24,215149903.16,215569250.6,0,-353627.46,1644535.15,186730011.57,15226965.34,1908515.23,0,22318568.4,44477954.19,1394389.73,6767529.77,1649957.53,11293780.12,25082612.96,64836866.24,76998935.6,60997481.62,68211369.86,12626950.36,215201517.02,-1865688.09,0,0,0
LIKE DENTAL PLANOS ODONTOLÓGICOS SS LTDA,Odontologia de Grupo,NÃO,0,,NÃO,,418536,2022,4,213081.61,343572.27,188368.2,188368.2,188368.2,0,1361.56,16090,0,0,0,323017.55,0,0,1523.14,0,4464.72,35726.97,34896.45,160800.96,75226.48,106432.05,159343.14,188368.2,-12536.7,86879.32,0,14813.6
,,,,,,,335614,2022,4,913157395.86,770727848.4,906452693.31,906516533.58,0,0,17934652.45,567413753.08,150094103.08,56297127.28,0,125663719.73,20240112.12,5845.55,35787617.85,798073.48,1107290.64,412925.28,328999031.16,169363969.67,237014257.07,68575139.45,192773604.31,906452693.31,-30278022.66,0,0,42610318.82
PLENA SAÚDE S.A.,Medicina de Grupo,NÃO,16779,,SIM,,348830,2022,4,231127692.91,246691483.35,206320793,206320793,0,0,1710726.9,166823468.75,20932444.36,11191046.35,0,26818648.09,35251524.23,0,5207192.18,8500000,6606795.93,18720045.08,30228074.9,86785180.61,50414073.9,30031571.39,36567610.22,206320793,-6471868.43,470000,0,0
DENTAL CARE CLINICA ODONTOLOGICA LTDA,Odontologia de Grupo,NÃO,2636,,SIM,,386219,2022,4,697909.43,637808.63,714615.74,714821,714821,0,9998.19,265691.55,23797.81,0,0,363476.88,3628.56,0,26084.29,0,5011.64,0,261851.47,227356.41,55555.71,0,388044.51,714615.74,-42790.6,76295.33,0,14493.14
,,,,,,,414581,2023,4,163894651.5,152152228.4,163431378.5,163431378.5,0,0,3551602.96,123080369.3,35763670.56,4880701.9,0,17551133.94,5173264.5,13898.46,5338869.01,56173.16,1452860.26,318880.2,44482421.58,33155651.82,41188271.74,4278176.23,32171625.43,163431378.5,-5250649.4,0,0,2761833.22
UNIODONTO DE AMERICANA COOPERATIVA ODONTOLÓ,Cooperativa odontológica,SIM,56517,220,SIM,,347604,2023,4,14768724.83,14047297.23,14382967.09,14559508.25,14171934.39,-176541.16,411982.95,8899579.5,1246998.49,138493.4,0,4724412.07,257035.49,0,736585.31,11639.48,27776.77,19338,6320803.81,384315.88,2458058.93,350000,3897060.76,14382967.09,-381805.05,0,0,221342.16
,,,,,,,421847,2023,4,76610.52,85551.97,0,0,0,0,0,0,0,0,0,80290.45,0,0,2637.03,0,5261.52,31606.2,151134.94,21500,1375.04,0,171259.9,42367.29,0,205550,0,0
ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.,Odontologia de Grupo,NÃO,273528,,SIM,,310981,2023,4,56922002.62,66002036.16,54720263,55036072.92,55036072.92,0,2778818.3,18937173.01,5276588.63,7189505.77,0,28424279.13,9329544.29,0,4596836.68,0,2121533.96,54347.56,44838497.98,2601471.77,26938288.96,5166284.99,15335395.8,54720263,-2449444.62,0,0,287430.35
,,,,,,,418480,2023,2,2643.65,463900,0,0,0,0,0,0,0,56565.29,0,257991.61,0,0,0,0,149343.1,0,1287199.93,162650.27,868997.96,0,580852.24,2926.01,0,4507123.98,0,224.72
FUNDAÇÃO CESP,Autogestão,NÃO,5159,,SIM,,315478,2023,3,1203048975.35,1144338253.47,1109866087.64,1109866087.64,0,0,82297845.1,1073669927.83,279628789.75,0,0,43539422.75,26831545.43,0,84731202.63,0,297357.46,4093617.18,1279891216.64,128358207.77,506560120.3,158673892.26,743015411.85,1121301191.41,-7077035.87,0,0,0
,,,,,,,412759,2023,3,35340225.71,33196736.72,31623941.62,31623941.62,0,0,7429454.83,23673900.6,16575944.7,499143.74,0,5649397.47,1531370.94,351635.58,370662.46,2386.21,1491288.39,0,13615959.68,23829237.05,25022718.79,6835595.96,3693922.61,35542321.62,-575144.58,0,0,250529.62
DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.,Odontologia de Grupo,NÃO,61042,,SIM,,314366,2023,3,5094181.58,4159752.18,5298793.58,5298793.58,5298793.58,0,695312.67,1569323.69,986534.15,434095.77,0,2087559.87,3224.68,0,55889.65,0,65548.17,0,1477550.04,1392682.83,1394964.93,594314.46,256224.24,5298793.58,-260501.65,0,0,309700.16
,,,,,,,421847,2023,3,76130.21,57295.62,0,0,0,0,0,0,0,0,0,52610.85,0,0,2156.72,0,4684.77,31606.2,158910.98,21500,1375.04,0,179035.94,42367.29,0,185550,0,0
,,,,,,,335517,2024,1,24933879.8,23014526.77,23223630.44,23384001.86,0,-160371.42,2159634.34,16150063.35,16633781.84,135296.53,0,2334166.39,4271653.08,2200.01,533795.67,153367.52,121147.41,1860472.98,24440501.3,32908829.03,20527336.64,6327415.99,30494577.7,23235085.38,-632480.81,0,0,159252.33
,,,,,,,301060,2024,1,20788298.62,18472140.48,17614819.18,17726758.34,0,-111939.16,2201583.75,14930740.59,12887290.51,97112.48,0,2484239.89,932995.15,0,1187174.33,0,27052.37,1027059.31,38119646.38,11007811.2,15575598.85,4130987.05,29420871.68,18842671.76,-268606.78,0,0,275576.94
,,,,,,,382281,2024,2,3261835.48,3018235.91,3140899.88,3140899.88,0,0,70663.6,1204252.68,1492351.82,0,0,1737171.45,51189.19,0,178573.55,0,25622.59,17166.65,3080414.3,970009.77,1905590.95,207227.34,1694006.21,3233245.62,-167150.34,0,0,0
,,,,,,,334154,2007,1,5664216.94,5173510.28,4449047.06,4525682.99,0,-123648.91,73861.44,3295389.63,917496.1,9647.78,0,663404.79,1183480.04,0,7160.89,2,39366.37,1328493.48,3171585.25,165271.11,3550728.12,1424290.91,1351848.47,4342724.69,-85204.33,0,0,16512.02
SISTEMA PREVSAUDE DENTAL LTDA,Odontologia de Grupo,NÃO,5201,,SIM,,333239,2009,1,424283.35,391390.77,432656.17,0,0,0,689068.85,220229.23,0,7549.6,0,131519.96,20691.69,0,0,0,11400.29,0,828855.28,1147523.52,313641.99,717667.13,945069.68,432656.17,-8372.82,0,641157.6,0
PREV-DONT ODONTOLOGICA LTDA.,Odontologia de Grupo,NÃO,0,,NÃO,,410420,2007,3,110877.01,94191.76,115049.14,0,0,0,9167.72,13721.87,0,0,0,74265.56,5779.75,0,0,0,424.58,0,95850.91,0,44583.99,0,170455.74,114580.02,-7229.69,0,0,5487.89
,,,,,,,312126,2018,4,1279639018.65,1245425315.86,1232371410.43,1348906353.05,0,-116534942.62,179662.15,1130125194.36,239955685.92,0,0,89842780.36,16832740.08,0,31467221.24,0,8624601.06,278080.13,536530154.1,31901192.67,357191037.28,39458803.2,171781506.29,1247893717.28,0,0,0,0
,,,,,,,418439,2023,2,2358479.91,1993694.07,0,0,0,0,0,0,0,903434.15,0,842420.68,104382.29,0,105357.26,0,143456.95,4500,2360925.78,268422.61,1838670.06,84998.14,705680.19,2408856.45,-160233.8,0,0,69914.08
,,,,,,,417122,2022,4,8878618.73,6075090.76,0,0,0,0,0,0,0,0,0,2989245.89,2884852.6,0,1030261.51,0,200992.27,153103.3,9114975.33,408600.6,4434765.98,1309719.11,3779090.84,8511216.11,-426354.05,0,0,1160127.68
DENTAL CENTER LTDA,Odontologia de Grupo,NÃO,57353,,SIM,,339458,2023,4,11888753.52,11132082.64,12101146.76,12101146.76,12101146.76,0,690708.2,4530876.23,1116771.83,2454572.18,0,3756914.12,135258.82,0,128730.28,0,254461.29,422839.72,2185886.78,2812527.75,1939120.51,621039.97,2438254.05,12101146.76,-763782.43,0,0,306258.62
FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELO,Autogestão,NÃO,2310,,SIM,,315044,2023,3,154307274.77,159580804.87,147191033.68,147195544.82,13963748.62,0,12856729.57,149596678.79,28838177.46,0,0,7562584.99,2251129.08,0,12762611.68,0,170412.01,546979.74,148872781.98,14633069.04,30562091.86,16470551.3,116473207.86,141279235.65,-281552.3,0,0,0
SISTEMA ODONTOLOGICO DE SAUDE LTDA.,Odontologia de Grupo,NÃO,0,,NÃO,,404748,2007,2,100325.8,89134.69,106587.71,0,0,0,2726.15,35575.22,0,0,0,52384.24,0,0,0,0,1175.23,0,58257.06,0,37331.46,0,22855.6,102917.76,-2591.96,0,0,8185.93
,,,,,,,311677,2007,3,1001866.45,1161836.82,1101219.74,1009369.67,0,0,78579.71,0,156807.01,249.5,0,1128492.95,-472.95,0,0,1.49,33567.32,0,242031.18,18527.28,481804.88,0,-50781.73,1001864.96,0,0,0,0
,,,,,,,321095,2007,3,10954745.53,12037930.08,3642581.79,3679412.71,0,0,1004888.82,1802668.64,305823.95,0,0,2745237.63,7444432.84,0,4379,604435.95,45590.97,6598296.28,6500802.64,53366.22,5835813.16,29012.04,8711373.8,3642581.79,0,4012622.57,5076660.04,0
DENTAL SEGUROS LTDA,Odontologia de Grupo,NÃO,0,,NÃO,,347272,2008,1,8508.58,6009.82,9115,0,0,0,0,0,0,0,0,6009.82,0,0,0,0,0,0,88954.19,0,14037.26,0,74916.93,9115,-606.42,0,0,0
ODONTO QUALIT SERVIÇOS ODONTOLÓGICOS LTDA,Odontologia de Grupo,NÃO,0,,NÃO,,416347,2010,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16621.85,0,0,621.85,16000,0,0,0,0,0
,,,,,,,344729,2015,3,57558080.91,55895728.57,34881501.37,34881501.37,0,0,3348049.75,29025970.5,7647689.16,86324.81,0,8114125.64,17878764.51,0,719855.32,243658.5,790543.11,23063157.4,18672867.35,26080259.24,18585105.12,17046447.49,9121573.98,34881501.37,-1292003.98,0,0,329448.47
,,,,,,,305472,2022,2,49064840.99,49522589.26,37520860.26,37520860.26,0,0,739069.35,27899667.92,11111670.8,710055.63,0,7780106.45,12538686,35321.1,789850.81,233767.44,558752.16,10924670.55,22453690.18,31190427.43,21775814.44,12181378.03,19686925.14,37520860.26,-404308.07,0,0,52402.54
,,,,,,,415421,2007,1,3946.43,2967.3,0,0,0,0,0,0,0,0,0,2967.3,0,0,0,0,0,3946.43,15969.55,0,5486.92,0,14369.73,0,0,0,0,0
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANE,Autogestão,NÃO,1947,,SIM,,335789,2007,4,11684181.19,4109789.13,3876315.67,3785409.67,0,0,73729.49,3010542.85,0,0,0,795874.14,113564.87,3728.43,6390673.08,0,186078.84,49351,14275902.75,0,884666.53,0,22761127.3,3876315.67,0,0,0,0
,,,,,,,322920,2016,4,78818075.84,95019250,29754063.44,29754063.44,0,0,1504178.7,25304912.89,2242420.03,0,0,7226051.85,58936305.3,0,519800.54,0,3551979.96,48544211.86,8600810.53,15900328.87,17957048.31,24464079.99,-1718814.74,29754063.44,0,0,0,0
,,,,,,,408026,2021,4,4766410.75,4989028.05,4034676.37,4250184.86,0,-198957.37,378615.46,4208652.9,846131.78,0,0,595737.96,162925.42,0,140132.85,0,21711.77,599699.89,3960297.91,495023.31,904368.23,0,3773570.29,4026578.01,0,0,0,0
MASSA FALIDA DE VIVA PLANOS DE SAÚDE LTDA,Medicina de Grupo,NÃO,0,,NÃO,,412791,2010,2,11093917,10684514.47,10146574.1,10322699.79,0,0,309118.29,8068070.73,850774.55,612766.88,0,1837446.51,128339.68,0,0,0,37890.67,198844.68,2421466.03,3003579.82,1896341.58,1819310.44,1709393.83,10922941.07,-74096.88,0,0,127196.86
,,,,,,,404993,2010,4,757681.6,843362.53,759305.23,759305.23,0,0,78333,346365.82,36067,0,0,418088.9,19416.93,0,0,0,59490.88,0,284448.05,263707.57,663606.29,175719.22,-291169.89,790392.99,-38077.07,51161.81,0,3331.84
,,,,,,,375268,2008,3,4251619.35,4252078.93,4527863.03,4283569.46,0,0,1381652.54,2858622.34,422720.18,6940,0,1176257.23,0,0,0,24.15,208990.8,0,2244428.94,249996.41,2617218.78,16665.09,17789.99,4398018.78,-147332.1,81638.84,0,0
DENTAL CENTER LTDA,Odontologia de Grupo,NÃO,57353,,SIM,,339458,2020,1,2866157.35,2509266.93,3020251.84,3020251.84,3020251.84,0,1504728.83,1120402.21,1312386.13,384272.31,0,872127.2,56551.05,0,16025.9,0,75914.16,6969.49,2381762.87,2944115.09,2475074,569262.86,2016783.94,3020251.84,-177089.88,0,0,92133.26
,,,,,,,417548,2020,1,35705561.31,33045593.69,36723326.74,41958038.74,0,-5234712,16982219.25,28942337.54,23188302.76,0,0,3346193.8,670067.73,694.64,254367.47,0,86299.98,0,33325049.79,1537124.11,25461882.72,1529881.65,7870409.53,36723326.74,-1272132.9,0,0,0
,,,,,,,417289,2020,2,44524590.1,40009493.74,0,0,0,0,0,0,0,11427850.06,0,22253141.78,6210211.67,0,773014.95,0,118290.23,597.76,42435900.97,7714215.36,34069501.86,12958516.26,3122098.21,46867677.96,-3116700.57,0,0,3340446.7
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPRE,Autogestão,NÃO,27964,,SIM,,416568,2020,2,75108129.78,61849814.29,68283254.25,78764313.78,6694643.12,-10481059.53,16446651.22,53926354.72,10946313.28,0,0,5828253.94,1136719.84,0,1044175.19,0,958485.79,5780700.34,65389504.44,7382739.78,12460629.17,5172244.06,41881055.5,68283254.25,0,0,0,0
,,,,,,,313149,2020,3,14717408.2,9418615.68,12196347.57,12830668.78,0,-633489.65,1660381.81,2341158.42,1807688.88,0,0,2551695.78,4362252.62,0,481754.86,3733.68,163508.86,2573323.38,21008603.15,6313769.68,5372778.83,848925.95,21100668.05,12196347.57,-366586.51,0,0,30310.3
SOBAM CENTRO MÉDICO HOSPITALAR S.A.,Medicina de Grupo,NÃO,6,,SIM,,326500,2020,4,323279636.75,285360587.36,320344043.37,327272229.37,22178.71,-1293092.12,8512400.1,217315033.95,32743564.38,6170568.03,0,43644385.5,17041812.69,29811.13,3908698.09,348978.27,1158976.06,10864594.92,114014072.01,43484713.35,50017686.2,6890050.32,100591048.84,320344043.37,-11932816.23,0,0,13400392.49
,,,,,,,419362,2020,4,7284687.24,7195354.45,6307301.81,6307301.81,0,0,294697.43,4513851.35,840139.64,0,0,1792294.46,751557.43,0,43636.13,0,137651.21,1207563.37,2097320,21050561.63,1129383.53,0,22018498.1,6307301.81,-273814.07,0,0,-21439.87
COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS,Cooperativa Médica,NÃO,870,,SIM,,367087,2021,1,61069712.77,58650122.25,55235051.31,80262663.33,0,-26727837.98,10872066.96,34156037.4,34099032.28,148666.68,0,13018598.09,10156864.41,0,650226.15,4653371.81,1169955.67,2326175.11,112914232.05,76579131.24,67131019.22,43360640.42,79001703.65,55171737.64,-1693096.63,0,0,478814.18
,,,,,,,337188,2021,1,60687435.48,52955090.54,55608299.71,61252781.51,0,-5644481.8,4329109.73,45379842.5,27658695.98,200765.88,0,5346319.01,865291.8,714.64,387242.76,256885.25,1162156.71,5495015.76,116184776.02,59010940.58,34667251.22,41977134.34,98551331.04,55608299.71,-1060008,0,0,111791.55
,,,,,,,311472,2021,1,1337734.36,1168899.15,1369686.21,1369686.21,0,0,42463.86,744327.95,1264023.82,32919.29,0,375709.85,0,0,6740.01,30000,15942.06,2878.48,1953342.67,1596190.17,1568435.91,257976.11,1723120.82,1369686.21,-71570.34,450000,0,34182.78
,,,,,,,358509,2021,3,30555352.86,31719952.99,31633844.75,30324156.09,0,0,2017009.66,23130171.62,4737444.44,751447.07,0,6624853.24,507735.47,0,239614.09,0,705745.59,47302.73,10611761.11,1704860.78,8845190,1466882.17,2004549.72,31469904.15,-1201468.11,0,0,-190420.4
,,,,,,,324159,2021,4,56013665.44,56997798.67,51879714.53,61316298,0,-9435621.46,1627686.2,45082385,9038771.23,206376.05,0,8940973.46,2478877.31,0,1035792.83,259519.88,289186.85,4020798.12,18383188.84,15074097.1,13473251.39,4932321.14,15051713.41,51692599.21,-536035.56,0,0,0
,,,,,,,357022,2021,4,118947272.31,117546570.68,86625394.94,90926490.09,0,-5075292.48,209233.48,71056312.14,7931897.36,722496.61,0,15053912.23,29551664.84,57491.17,1334877.4,1141893.52,1104693.69,31352518.09,32020018.07,37088940.56,26603086.29,12585451.31,29920421.03,86625394.94,-490069.01,0,0,0
,,,,,,,418528,2021,4,19075983.06,10972329.06,0,0,0,0,0,0,0,0,0,10266229.09,564194.07,15918.05,757530.56,13515.28,125987.85,209417.61,5646670.72,2248397.6,3103372.67,1091835.49,3699860.16,19081114.71,-706332.77,0,0,2946733.35
